number, runtime (milliseconds), runtime (nanoseconds), prime factors
2564001,0,43619,[3; 3; 3; 11; 89; 97]
4159840,0,1186257,[2; 2; 2; 2; 2; 5; 25999]
6660195,0,625628,[3; 5; 31; 14323]
9643249,0,773590,[7; 7; 11; 17891]
11282307,63,56002932,[3; 3760769]
12182218,125,133974699,[2; 6091109]
17388701,0,66711,[11; 587; 2693]
18476435,0,965597,[5; 101; 36587]
18899470,0,9408,[2; 5; 59; 103; 311]
19678472,0,15395,[2; 2; 2; 11; 11; 29; 701]
21871239,0,15823,[3; 13; 449; 1249]
24024165,0,2419980,[3; 5; 11; 145601]
24065559,0,1133230,[3; 3; 3; 7; 127331]
26477732,0,2030833,[2; 2; 47; 140839]
32622715,0,124869,[5; 19; 37; 9281]
33213412,0,8125,[2; 2; 113; 197; 373]
35449912,0,965169,[2; 2; 2; 41; 108079]
36185368,63,62053524,[2; 2; 2; 4523171]
38456845,0,20526,[5; 7; 733; 1499]
39294979,0,2016721,[863; 45533]
42963057,0,2000472,[3; 3; 23; 207551]
50921005,0,1347047,[5; 67; 152003]
52091166,0,863820,[2; 3; 89; 97549]
52287738,0,1156322,[2; 3; 67; 130069]
59796785,172,162476069,[5; 11959357]
64599902,0,6110460,[2; 47; 687233]
68578208,47,34102946,[2; 2; 2; 2; 2; 2143069]
71606342,0,37631,[2; 31; 389; 2969]
72352109,31,33655641,[31; 2333939]
73658538,16,14442051,[2; 3; 3; 3; 1364047]
74582467,0,23092,[19; 47; 47; 1777]
80515964,0,3783277,[2; 2; 41; 490951]
80952729,16,4087753,[3; 11; 13; 188701]
81432630,0,14540,[2; 3; 3; 5; 659; 1373]
83003473,0,5524602,[7; 71; 167009]
84251784,31,28662161,[2; 2; 2; 3; 3510491]
84557803,63,67841120,[11; 7687073]
85356899,1234,1224587322,[85356899]
85590684,0,119737,[2; 2; 3; 3; 131; 18149]
90134346,172,178806551,[2; 3; 15022391]
92713559,0,49605,[19; 701; 6961]
98120580,0,9408,[2; 2; 3; 5; 31; 71; 743]
99904694,609,617918116,[2; 49952347]
101643732,16,15571005,[2; 2; 3; 3; 2823437]
101772459,0,18388,[3; 3; 37; 131; 2333]
102695520,0,1149480,[2; 2; 2; 2; 2; 3; 5; 213949]
103078280,0,13257,[2; 2; 2; 5; 103; 127; 197]
105139333,0,824478,[13; 53; 152597]
110707938,0,996386,[2; 3; 3; 3; 11; 186377]
112284822,16,8997845,[2; 3; 13; 1439549]
112654636,0,1546751,[2; 2; 97; 290347]
113871550,0,14540,[2; 5; 5; 13; 239; 733]
119287774,344,335132389,[2; 59643887]
123509525,15,27878308,[5; 5; 4940381]
126070881,0,1156750,[3; 193; 217739]
128231428,16,13612014,[2; 2; 13; 2465989]
133508940,0,6842,[2; 2; 3; 5; 31; 179; 401]
135118597,766,752740813,[135118597]
135224956,0,50888,[2; 2; 3671; 9209]
138072214,0,423358,[2; 7; 113; 87277]
138317973,219,223604620,[3; 46105991]
138638226,109,112093101,[2; 3; 23106371]
141690887,109,114653345,[13; 10899299]
143273199,0,730398,[3; 587; 81359]
146677272,15,13151452,[2; 2; 2; 3; 7; 873079]
146921689,1375,1366190582,[146921689]
147379914,0,234343,[2; 3; 3; 11; 29; 25667]
148257180,0,7265072,[2; 2; 3; 3; 5; 823651]
150771437,16,10394924,[131; 1150927]
152018788,0,3459558,[2; 2; 97; 391801]
152467854,0,2914325,[2; 3; 7; 11; 330017]
155798026,0,52171,[2; 61; 257; 4969]
157794992,0,12402,[2; 2; 2; 2; 53; 317; 587]
158465954,0,108619,[2; 6679; 11863]
160761962,0,689346,[2; 17; 61; 77513]
162171297,0,706024,[3; 3; 227; 79379]
163007774,766,756406918,[2; 81503887]
167353099,1531,1532554697,[167353099]
167704447,1578,1571753329,[167704447]
167957679,516,514757003,[3; 55985893]
168795869,140,149587184,[11; 15345079]
169447210,0,64146,[2; 5; 23; 127; 5801]
170347092,141,130802510,[2; 2; 3; 14195591]
171485445,109,109864701,[3; 5; 11432363]
171935310,47,53663347,[2; 3; 5; 5731177]
172162086,16,3666105,[2; 3; 83; 345707]
177140879,1625,1630780915,[177140879]
182047039,16,9993376,[163; 1116853]
183899939,0,4598347,[353; 520963]
185574670,0,28651,[2; 5; 43; 179; 2411]
186944228,0,954051,[2; 2; 443; 105499]
189610707,0,236909,[3; 11; 13; 17; 25999]
189941322,296,291125015,[2; 3; 31656887]
197121635,360,356570530,[5; 39424327]
198200941,31,26645867,[67; 2958223]
202029045,0,350659,[3; 5; 359; 37517]
206268070,0,2504224,[2; 5; 73; 282559]
207606818,0,151810,[2; 6163; 16843]
208693332,63,57517184,[2; 2; 3; 3; 5797037]
212365140,0,2859160,[2; 2; 3; 5; 13; 272263]
214277567,0,4762131,[7; 61; 501821]
214312538,15,9400248,[2; 11; 11; 885589]
214370105,0,772735,[5; 653; 65657]
214619606,0,193291,[2; 5147; 20849]
216774045,0,90658,[3; 3; 5; 491; 9811]
217595932,0,48323,[2; 2; 29; 577; 3251]
217831151,110,111907508,[29; 7511419]
220029548,0,280528,[2; 2; 1753; 31379]
221753543,0,7269,[11; 37; 41; 97; 137]
222556324,0,136843,[2; 2; 29; 127; 15107]
228546751,62,61813193,[41; 5574311]
232033556,0,80823,[2; 2; 6673; 8693]
233667878,16,10851209,[2; 109; 1071871]
234777572,15,14315899,[2; 2; 79; 742967]
235512872,110,105000793,[2; 2; 2; 7; 4205587]
237037513,2250,2254957880,[237037513]
242019311,0,3599822,[593; 408127]
243950878,1109,1100895508,[2; 121975439]
246024795,0,148389,[3; 5; 1223; 13411]
246535307,0,3527979,[617; 399571]
249125282,16,7221881,[2; 7; 23; 773681]
255615594,31,29660258,[2; 3; 13; 3277123]
256913002,0,1444119,[2; 787; 163223]
257540499,0,18389,[3; 3; 3; 23; 229; 1811]
260004044,0,139837,[2; 2; 4159; 15629]
260632194,0,3043898,[2; 3; 127; 342037]
260823486,0,28652,[2; 3; 7; 11; 11; 17; 3019]
261347374,0,569609,[2; 2029; 64403]
262012748,640,628803109,[2; 2; 65503187]
263241621,0,259574,[3; 3; 1213; 24113]
265381512,0,4276,[2; 2; 2; 3; 11; 19; 191; 277]
268270583,360,368271876,[7; 38324369]
269736740,0,1452245,[2; 2; 5; 7; 13; 148207]
273613840,0,1041716,[2; 2; 2; 2; 5; 29; 117937]
275100214,1281,1267431105,[2; 137550107]
279418445,500,509624969,[5; 55883689]
287419768,516,514320817,[2; 2; 2; 35927471]
290304985,0,23092,[5; 103; 241; 2339]
292987873,2859,2857571407,[292987873]
293078585,532,534361023,[5; 58615717]
293080485,0,3666105,[3; 5; 47; 415717]
293655551,375,378974697,[7; 41950793]
294488850,16,17639470,[2; 3; 5; 5; 1963259]
294584422,0,47040,[2; 11; 11; 241; 5051]
301753478,0,5421543,[2; 13; 19; 610837]
303539767,0,187731,[73; 197; 21107]
306542185,0,80823,[5; 6857; 8941]
315879812,875,861562514,[2; 2; 78969953]
320736287,31,39039551,[79; 4059953]
321310633,16,15055705,[7; 29; 1582811]
321442484,78,69674387,[2; 2; 11; 7305511]
321679438,0,483654,[2; 3229; 49811]
322439155,0,138126,[5; 43; 97; 15461]
323187236,0,392568,[2; 2; 2029; 39821]
325643857,0,46612,[7; 7; 7; 11; 17; 5077]
326887286,0,11547,[2; 11; 19; 709; 1103]
327805525,125,123224411,[5; 5; 13112221]
329005060,0,64145,[2; 2; 5; 2411; 6823]
332481465,78,76833405,[3; 3; 5; 7388477]
336148207,47,56831686,[53; 6342419]
336672135,78,79078484,[3; 3; 5; 7481603]
337073208,0,547799,[2; 2; 2; 3; 227; 61871]
338005752,47,42354997,[2; 2; 2; 3; 7; 2011939]
341511114,0,98784,[2; 3; 7; 739; 11003]
344719998,0,151382,[2; 3; 3; 7; 7; 23; 16993]
345854740,0,284804,[2; 2; 5; 7; 7; 11; 32083]
362001029,0,7697,[13; 193; 223; 647]
363092423,3453,3445150611,[363092423]
377873872,0,204409,[2; 2; 2; 2; 1031; 22907]
378007930,406,405411450,[2; 5; 37800793]
378589690,422,420799428,[2; 5; 37858969]
388376983,16,23796114,[151; 2572033]
389704118,0,319870,[2; 5407; 36037]
393084790,62,51117643,[2; 5; 7; 5615497]
